,foodId,label,category,foodContentsLabel,image
0,food_b3dyababjo54xobm6r8jzbghjgqe,"Champagne Vinaigrette, Champagne",Packaged foods,INGREDIENTS: WATER; CANOLA OIL; CHAMPAGNE VINEGAR; SUGAR; OLIVE OIL; SALT; DRIED GARLIC; DRED SHALLOTS; BLACK PEPPER; XANTHAN GUM; SPICE,https://www.edamam.com/food-img/d88/d88b64d97349ed062368972113124e35.jpg
1,food_bmu5dmkazwuvpaa5prh1daa8jxs0,"Champagne Dressing, Champagne",Packaged foods,SOYBEAN OIL; WHITE WINE (PRESERVED WITH SULFITES); WATER; WHITE WINE VINEGAR; SUGAR; SALT; SPICES (INCLUDING MUSTARD SEED); MONOSODIUM GLUTAMATE; GARLIC*; ONION*; XANTHAN GUM; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; VINEGAR; CORN SYRUP; CARAMEL COLOR; CHIVES*; NATURAL FLAVOR; TAMARIND.,https://www.edamam.com/food-img/ab2/ab2459fc2a98cd35f68b848be2337ecb.jpg
2,food_bu12urpbtuo9v6b4jpvk2a1fh4hh,"Champagne Simply Dressed Vinaigrette, Champagne",Packaged foods,FILTERED WATER; CANOLA OIL; CHAMPAGNE AND WHITE WINE VINEGARS; CANE SUGAR; EXTRA VIRGIN OLIVE OIL; SALT; NATURAL FLAVOR; GARLIC*; SPICE; XANTHAN GUM; BELL PEPPER*.,https://www.edamam.com/food-img/736/736a3e27a63d799d4073d2774075b509.png
3,food_bu12urpbtuo9v6b4jpvk2a1fh4hh,"Champagne Simply Dressed Vinaigrette, Champagne",Packaged foods,FILTERED WATER; CANOLA OIL; CHAMPAGNE AND WHITE WINE VINEGARS; CANE SUGAR; EXTRA VIRGIN OLIVE OIL; SALT; NATURAL FLAVOR; GARLIC*; SPICE; XANTHAN GUM; BELL PEPPER*.,https://www.edamam.com/food-img/736/736a3e27a63d799d4073d2774075b509.png
4,food_b48c55sagj89z4afsne5dar76h4x,Champagne Vinegar,Packaged foods,CHAMPAGNE VINEGAR DILUTED WITH WATER TO 7% ACIDITY (70 GRAIN); POTASSIUM METABISULFITE (PRESERVATIVE).,https://www.edamam.com/food-img/ad8/ad8c8d6ba8216b73e2998d94959b25a9.jpg
5,food_bb0nrsgbser5g4ac2enxib1deyh8,Champagne Mustard,Packaged foods,DIJON MUSTARD (VINEGAR; WATER; MUSTARD SEED; SALT; WHITE WINE; CITRIC ACID; TARTARIC ACID; SPICES); HONEY; PURE CANE SUGAR; MAPLE SYRUP; CHAMPAGNE; CURRY POWDER; SPICES.,https://www.edamam.com/food-img/775/775b39c0b0da1f6c74996da8fa258cdd.jpg
6,food_arm1rlyb5v81v6arurmjqb6xiy9t,"Light Champagne Dressing, Light Champagne",Packaged foods,WATER; SOYBEAN OIL; WHITE WINE (PRESERVED WITH SULFITES); WHITE WINE VINEGAR; SALT; SUGAR; SPICES (INCLUDING MUSTARD SEED); MONOSODIUM GLUTAMATE; GARLIC*; ONION*; XANTHAN GUM; SODIUM BENZOATE AND POTASSIUM SORBATE ADDED AS PRESERVATIVES; MOLASSES; CALCIUM DISODIUM EDTA ADDED TO PROTECT FLAVOR; VINEGAR; CORN SYRUP; CARAMEL COLOR; CHIVES*; TAMARIND; NATURAL FLAVORS.,https://www.edamam.com/food-img/ee0/ee0475f45bf2e9ac0777092afd7497ae.jpg
7,food_bzb3i0lbxkz4nnbv10dsladd965e,Inglenook  Champagne,Packaged foods,Dealcoholized Champagne; Water; Grape Juice Concentrate; Carbon Dioxide; Citric Acid; Potassium Benzoate; And Sulfur Dioxide; To Preserve Freshness,https://www.edamam.com/food-img/cb3/cb33b008dbd043800eadebc05310ea1a.jpg
8,food_byl67wcbbfw82ua6j1n7oa6ago4a,Cola Champagne,Packaged foods,CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL FLAVOR; FD&C YELLOW #6; FD&C YELLOW #5; CITRIC ACID.,https://www.edamam.com/food-img/f82/f82d164536a6df0792fddd9b1cb77f5e.jpg
9,food_b3iaz2gav39j6abdpavjka0qgz2e,Cola Champagne,Packaged foods,CARBONATED WATER; HIGH FRUCTOSE CORN SYRUP; ARTIFICIAL FLAVOR; POTASSIUM BENZOATE (PRESERVATIVE); YELLOW #6; YELLOW #5.,https://www.edamam.com/food-img/b4b/b4b747a25b7f490f6894cb6693c5d4a5.jpg
